epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,15358.3,0.6425,0.80227,1.15465,0.61589,0.62143,0.61366,0.49165,0.89371,1.32532,1.42737,0.00730225,0.00730225,0.00730225
111,15472.6,0.64008,0.78115,1.14979,0.5889,0.65561,0.6199,0.48557,0.9517,1.34037,1.46862,0.0072775,0.0072775,0.0072775
112,15585.9,0.63489,0.76706,1.15447,0.58839,0.62627,0.60614,0.47645,0.90736,1.37578,1.40573,0.00725275,0.00725275,0.00725275
113,15700,0.62333,0.76586,1.14624,0.68494,0.56371,0.61215,0.49087,0.89918,1.351,1.41085,0.007228,0.007228,0.007228
114,15815.2,0.62288,0.76411,1.13855,0.63568,0.64079,0.62143,0.49781,0.93008,1.3031,1.43612,0.00720325,0.00720325,0.00720325
115,15930.8,0.62658,0.76486,1.13766,0.63454,0.61155,0.6247,0.50873,0.90031,1.29959,1.43163,0.0071785,0.0071785,0.0071785
116,16045.3,0.61091,0.75287,1.13141,0.64851,0.58413,0.60525,0.48891,0.89716,1.3662,1.40025,0.00715375,0.00715375,0.00715375
117,16159.6,0.62121,0.76339,1.14132,0.64126,0.62191,0.61147,0.49411,0.87677,1.34065,1.38751,0.007129,0.007129,0.007129
118,16274.4,0.61418,0.74662,1.13404,0.62731,0.60687,0.60708,0.48818,0.91125,1.3815,1.42469,0.00710425,0.00710425,0.00710425
119,16389.1,0.61238,0.74137,1.13359,0.65132,0.59443,0.60511,0.48413,0.91906,1.3833,1.42297,0.0070795,0.0070795,0.0070795
120,16504.4,0.62447,0.74953,1.13926,0.57835,0.62292,0.60888,0.47771,0.93533,1.41982,1.4566,0.00705475,0.00705475,0.00705475
121,16625.6,0.6136,0.74837,1.13486,0.6305,0.59616,0.60698,0.48057,0.92004,1.39283,1.42857,0.00703,0.00703,0.00703
122,16746.8,0.61369,0.73606,1.14021,0.71146,0.58068,0.63463,0.50329,0.93066,1.30645,1.4324,0.00700525,0.00700525,0.00700525
123,16867.7,0.60831,0.72915,1.12444,0.5761,0.63403,0.60761,0.47614,0.94942,1.38643,1.47954,0.0069805,0.0069805,0.0069805
124,16989,0.61184,0.72281,1.13237,0.65028,0.55749,0.60425,0.48235,0.95024,1.39855,1.4662,0.00695575,0.00695575,0.00695575
125,17110.5,0.60061,0.69813,1.12189,0.62026,0.60734,0.61368,0.49293,0.92344,1.35716,1.41914,0.006931,0.006931,0.006931
126,17232.2,0.60083,0.71498,1.12537,0.63219,0.62698,0.61205,0.48608,0.91545,1.38053,1.43418,0.00690625,0.00690625,0.00690625
127,17353.5,0.6163,0.73057,1.13982,0.68188,0.5912,0.63207,0.4992,0.93142,1.34103,1.45839,0.0068815,0.0068815,0.0068815
128,17472.6,0.59419,0.727,1.11387,0.65496,0.58359,0.61393,0.49277,0.88711,1.3487,1.41239,0.00685675,0.00685675,0.00685675
129,17594.1,0.6025,0.72272,1.11912,0.59069,0.61872,0.60922,0.48961,0.93255,1.36207,1.43833,0.006832,0.006832,0.006832
130,17715.6,0.59931,0.7158,1.12121,0.6513,0.57558,0.60577,0.49125,0.91438,1.37422,1.43333,0.00680725,0.00680725,0.00680725
131,17836.8,0.58654,0.70132,1.11378,0.53619,0.65735,0.60304,0.47955,0.93218,1.4238,1.45407,0.0067825,0.0067825,0.0067825
132,17958.8,0.58411,0.69271,1.11346,0.65158,0.55704,0.60019,0.48034,0.92912,1.43806,1.4449,0.00675775,0.00675775,0.00675775
133,18080.2,0.5857,0.68899,1.10921,0.65851,0.5734,0.61027,0.48501,0.93226,1.3754,1.45673,0.006733,0.006733,0.006733
134,18202.2,0.5927,0.70083,1.11996,0.64392,0.58671,0.60092,0.47851,0.94515,1.42817,1.46891,0.00670825,0.00670825,0.00670825
135,18325.5,0.59651,0.69703,1.12022,0.6242,0.6442,0.61947,0.49686,0.92054,1.38191,1.4276,0.0066835,0.0066835,0.0066835
